3	6747663	6747929	AT3G19460	+	-0.9131888344	-0.6508834412	-0.9727149167	
4	11478539	11478617	AT4G21585	+	-0.698	-0.57		
3	4692688	4692926	AT3G14150	-	-0.686	-0.471		
2	950208	950308	AT2G03140	+	-0.663	-0.48	-0.543	
2	18866503	18866607	AT2G45830	+	-0.6414262673	-0.5275709588		
4	17974519	17974419	AT4G38380	-	-0.6357990934	-0.4825860993		
3	18353210	18353443	AT3G49500	-	-0.622	-0.613		
3	8420426	8420495	AT3G23480	+	-0.586	-0.673		
4	15721807	15722015	AT4G32590	+	-0.529	-0.156	-0.207	
5	25494407	25494577	AT5G63700	-	-0.509	-0.55	-0.553	
4	16352079	16352341	AT4G34140	+	-0.509	-0.24		
4	642979	643086	AT4G01510	+	-0.508	-0.539	-0.59	
2	7819425	7819511	AT2G17970	-	-0.467	-0.548		
1	5668739	5668918	AT1G16560	+	-0.463	-0.497		
2	10980344	10980621	AT2G25740	+	-0.4618883104	-0.5018931378	-0.5231658113	
1	18511962	18512089	AT1G49980	+	-0.457	-0.479		
4	1527173	1527399	AT4G03440	-	-0.453	-0.401	-0.522	
2	9590081	9589982	AT2G22570	-	-0.4511201153	-0.3319732445	-0.302950455	
5	3571668	3571869	AT5G11210	-	-0.442	-0.677		
1	5164347	5164536	AT1G14970	-	-0.439	-0.376	-0.738	
5	21882857	21882734	AT5G53900	-	-0.4319658203	-0.675858644		
2	14208049	14208174	AT2G33540	-	-0.426	-0.393	-0.53	
2	15369449	15369361	AT2G36680	-	-0.4206063573	-0.3662212072	-0.2524451019	
2	10980344	10980620	AT2G25740	+	-0.42	-0.517	-0.507	
1	5676006	5676107	AT1G16610	-	-0.417	-0.623		
1	11430452	11431135	AT1G31850	+	-0.409	-0.519		
2	14208175	14208049	AT2G33540	-	-0.4069634929	-0.3624376558	-0.4518013374	
3	6748909	6748991	AT3G19460	+	-0.400566273	-0.493225665	-0.4437224226	
2	1679909	1680014	AT2G04790	+	-0.4	-0.593		
2	9589982	9590080	AT2G22570	-	-0.4	-0.35	-0.34	
3	8420426	8420496	AT3G23470_and_AT3G23480	+	-0.3937319194	-0.5730254929	-0.4959204178	
3	18127230	18127860	AT3G48880	+	-0.386	-0.46		
4	17974419	17974518	AT4G38380	-	-0.385	-0.613	-0.5	
3	6748909	6748990	AT3G19460	+	-0.368	-0.422		
1	24902358	24902436	AT1G66760	+	-0.366	-0.333		
2	15369366	15369448	AT2G36680	-	-0.36	-0.373	-0.459	
4	827717	827800	AT4G01915	+	-0.359	-0.333		
4	12173873	12173941	AT4G23270	+	-0.3558046509	-0.0954647423	-0.2798784068	
1	5164537	5164347	AT1G14970	-	-0.3433615807	-0.769389184		
5	20710590	20710724	AT5G50915	-	-0.34	-0.296		
1	20326956	20327359	AT1G54440	+	-0.34	-0.285	-0.481	-0.282
2	15369449	15369366	AT2G36680	-	-0.338709427	-0.3874508032	-0.4956822599	
2	1646031	1646154	AT2G04690	+	-0.338	-0.262	-0.266	
1	30358295	30358378	AT1G80780	+	-0.338	-0.388	-0.307	
2	1646031	1646155	AT2G04690	+	-0.3295384823	-0.2554600037	-0.3295204691	
1	4347790	4348240	AT1G12750	-	-0.318	-0.262		
5	24523687	24523780	AT5G60940	+	-0.3127346889	-0.3385247297	-0.3304304307	
2	1646066	1646155	AT2G04690	+	-0.3069972213	-0.1014139539	-0.2228665155	
2	11697163	11697449	AT2G27340	+	-0.3037803086	-0.4312088786		
1	6421303	6421397	AT1G18660	+	-0.3	-0.321		
5	3382197	3382327	AT5G10710	+	-0.2983582874	-0.2734506784	-0.356222681	
5	24523687	24523779	AT5G60940	+	-0.298	-0.364	-0.348	
5	369786	369894	AT5G01950	-	-0.298	-0.374		
5	3382197	3382326	AT5G10710	+	-0.295	-0.266	-0.298	
1	21214789	21215106	AT1G56612	-	-0.295	-0.356		
3	2682193	2682386	AT3G08840	-	-0.293	-0.4		
4	5758484	5758982	AT4G08980	+	-0.2893683001	-0.2987059489		
3	1040958	1041064	AT3G04020	+	-0.287	-0.343		
1	2137146	2137264	AT1G06960	+	-0.2835139299	-0.4789525842		
5	25494578	25494407	AT5G63700	-	-0.2810953055	-0.4010391958	-0.382040501	
2	9149976	9150112	AT2G21385_and_AT2G21390	+	-0.2807941067	-0.3042020728		
5	22740256	22740141	AT5G56180	-	-0.2740198275	-0.1075056885	-0.1878176221	
3	5441869	5441935	AT3G16030	+	-0.273	-0.54		
5	16235813	16235883	AT5G40530	+	-0.269926731	-0.1815352461		
2	10202981	10202911	AT2G23980_and_AT2G23987	-	-0.2687256973	-0.1969029554	-0.2890804142	
1	2137146	2137263	AT1G06960	+	-0.267	-0.283		
