Name	Score	Freq
AT4G32590:15721808:15722015	1.20300570644992e-11	3
AT3G26890+AT3G26900:9910945:9911367	1.08158357184376e-10	4
AT1G23080:8182206:8182217	2.62764879946431e-10	4
AT2G41640+AT2G41650:17362891:17363788	4.66364000784244e-10	3
AT1G53490+AT1G07887:19963267:19964105	8.62036151917031e-10	3
AT2G41640+AT2G41650:17362645:17362890	9.61399126102742e-10	3
AT1G64790:24082539:24082720	1.17428100677711e-09	2
AT4G26630:13435596:13435651	1.87759471455222e-09	3
AT3G14010:4638933:4638938	2.12945995087185e-09	3
AT1G08900:2852604:2852715	2.30929878944457e-09	3
AT5G63510:25424966:25425046	4.26207482736685e-09	3
AT2G02080:520977:520980	4.84241681745504e-09	3
AT5G63700:25494408:25494577	6.89433498404527e-09	3
AT2G16930:7341211:7341247	8.10815403192488e-09	3
AT1G10840:3610174:3610289	9.69499498664026e-09	3
AT2G35390:14897108:14897215	1.31666785870205e-08	3
AT5G46410+AT5G46420:18827998:18828786	1.65746113443759e-08	4
AT2G35390:14897216:14897437	1.66817176071759e-08	3
AT5G65050:25982600:25984680	2.4133759357409e-08	3
AT2G36680:15369367:15369448	2.45777988826969e-08	3
AT4G01960:852720:852974	2.88216191151579e-08	3
AT5G19390:6537140:6537432	3.03377653092338e-08	3
AT1G10590:3503370:3503373	3.29812073207635e-08	3
AT3G21175:7423762:7424132	3.9327761333209e-08	3
AT4G32330:15609107:15609117	4.18231610426667e-08	3
AT1G52360:19505448:19505698	4.57606942609017e-08	3
AT4G24740:12755049:12755141	5.06578098162676e-08	3
AT1G77080:28955864:28958310	6.2301982207105e-08	3
AT1G18950:6550670:6550681	6.48264154018598e-08	3
AT3G26890+AT3G26900:9909318:9910792	6.64452226742665e-08	4
AT2G25740:10980345:10980620	7.00779440691641e-08	3
AT4G24730:12753644:12754010	7.75106944487044e-08	3
AT4G31150:15144318:15144492	1.0176552537816e-07	3
AT5G64980:25963011:25963189	1.02921400104552e-07	3
AT1G47570:17477579:17478654	1.05259328370434e-07	3
AT2G04790:1679887:1679909	1.17481040329662e-07	3
AT2G46420:19054066:19054760	1.31978085640705e-07	3
AT4G23910:12426712:12426729	1.43238376207739e-07	3
AT5G40810:16340260:16340588	1.47620597696369e-07	3
AT5G15270:4960734:4960847	1.79137903885507e-07	3
AT5G22875:7650711:7651265	2.05512262124157e-07	3
AT4G34265:16402736:16402780	2.11079750483599e-07	3
AT5G37850:15065513:15065604	2.18658145100582e-07	3
AT4G09980:6249105:6249115	2.18658145100582e-07	3
AT5G37850:15065480:15065512	2.61432322889468e-07	3
AT2G28550:12226969:12227013	2.67963606654816e-07	3
AT3G26890+AT3G26900:9910793:9910872	3.19210751954069e-07	3
AT5G49970:20332470:20332486	3.21683551872216e-07	3
AT3G57050:21114060:21114112	3.3678879945014e-07	3
AT5G22450+AT5G22460:7445018:7445286	3.39351386194076e-07	3
AT2G02790:790798:790895	3.39351386194076e-07	3
AT5G22450+AT5G22460:7444395:7444606	3.73855963021138e-07	3
AT3G19460:6748905:6748909	4.07711794574042e-07	3
AT2G02370:621366:621374	4.23844280459559e-07	2
AT1G72640:27347659:27347661	5.31730313435801e-07	3
AT3G14415:4819755:4819772	5.74402753241094e-07	3
AT3G23050:8196211:8196522	6.1165818356476e-07	3
AT4G26965:13539829:13539832	6.15469851440326e-07	3
AT5G53140:21548797:21549020	6.15469851440326e-07	3
AT5G18620:6196327:6196335	6.86811332125147e-07	3
AT3G13120:4220273:4220288	6.90928554850821e-07	3
AT3G26890+AT3G26900:9910873:9910944	7.28725774548511e-07	3
AT1G66760:24902359:24902436	7.33761358998124e-07	2
AT1G27900:9716399:9716537	7.50307197014981e-07	3
AT5G48545+AT5G48543:19677601:19677693	7.59057572879344e-07	3
AT1G55490:20718831:20718847	7.72310170834941e-07	3
AT3G03773:952867:953062	7.9362888326584e-07	3
AT5G49840:20257877:20257981	8.93678189172419e-07	3
AT1G54030:20169030:20169099	9.38475608497302e-07	3
AT1G66940:24973603:24973729	1.00578628040407e-06	3
AT5G59890:24122675:24123088	1.16152325914033e-06	3
AT1G27900:9716340:9716398	1.18500229423483e-06	3
AT1G21170:7415873:7415924	1.23290430179163e-06	3
AT3G21175:7423329:7423334	1.23898117943801e-06	3
AT5G22450+AT5G22460:7444043:7444310	1.47126351449413e-06	3
AT2G39730:16571180:16571190	1.60705098897549e-06	3
AT2G23980:10202912:10202980	1.77689676821319e-06	3
AT3G45040:16473016:16473100	1.80803161187277e-06	3
AT2G22570:9589983:9590080	1.82373433298828e-06	3
AT2G22990:9789747:9789750	2.02774183907227e-06	3
AT4G31170:15155467:15155575	2.08746808211792e-06	3
AT1G55490:20718848:20718885	2.19256067775922e-06	3
AT3G63460:23434944:23434949	2.47057232886582e-06	3
AT3G48880:18127231:18127860	2.56820582748904e-06	3
AT1G01020:8571:8593	2.69892455853324e-06	3
AT5G22450+AT5G22460:7443508:7443949	3.03939805935734e-06	3
AT3G14150:4692927:4692930	3.05288077280677e-06	2
AT5G63190:25345803:25345811	3.07270843983161e-06	3
AT1G54440:20326957:20327359	3.10626095707574e-06	3
AT4G30993+AT4G08425:15099411:15099503	3.32443941303159e-06	3
AT5G46410+AT5G46420:18828891:18829221	3.58953565926871e-06	3
AT1G69340:26065898:26066226	3.71454515143841e-06	3
AT2G04360:1519947:1520012	3.72720312462631e-06	3
AT5G35330:13525621:13525641	3.93365294194202e-06	3
AT3G26890+AT3G26900:9911368:9911414	3.97319035017999e-06	3
AT2G06025:2351549:2351671	4.31300347627992e-06	3
AT3G04610:1254283:1254768	4.52588825469248e-06	3
AT4G19040:10433202:10433216	4.65802669843492e-06	2
AT2G41640+AT2G41650:17364033:17364518	4.80702931912671e-06	2
AT1G55490:20718886:20719068	5.2698339624792e-06	3
AT3G25840:9452493:9452558	5.33392176669037e-06	3
AT1G70180:26428458:26428659	5.67890575886595e-06	3
AT1G29850:10448846:10448848	6.46748736414976e-06	3
AT1G67700:25375713:25375726	6.54091247134219e-06	3
AT2G06025:2350116:2350118	6.67073730810503e-06	3
AT5G44290:17842387:17842671	6.9931393886147e-06	3
AT2G06025:2350119:2350201	7.38551158283579e-06	3
AT5G44290:17842765:17843307	7.54647241922158e-06	3
AT2G06025:2350017:2350115	7.60742925224445e-06	3
AT5G59890:24122601:24122674	7.69871038573256e-06	2
AT3G01310:101357:101513	7.91713157022654e-06	3
AT4G10100:6308833:6308849	8.40812027430838e-06	3
AT1G31850:11430449:11430452	9.08625510527914e-06	2
AT3G26890+AT3G26900:9913631:9913703	9.2166193021715e-06	3
AT3G26890+AT3G26900:9913212:9913299	9.26299176091487e-06	3
AT4G36940:17417168:17417312	9.26299176091487e-06	3
AT5G05960+AT5G05950:1788738:1789537	9.45003371577011e-06	3
AT3G26890+AT3G26900:9913002:9913084	9.63957136167044e-06	3
AT3G26890+AT3G26900:9913810:9913864	9.95293513286843e-06	3
AT3G26890+AT3G26900:9912774:9912873	9.9773168151334e-06	3
AT4G36940:17417382:17417501	1.02979030012332e-05	3
AT3G26890+AT3G26900:9914235:9914514	1.03478239283909e-05	3
AT1G53800:20082696:20082705	1.03669493555198e-05	2
AT3G26890+AT3G26900:9912607:9912685	1.07529987292376e-05	3
AT3G26890+AT3G26900:9913963:9914003	1.09076178908226e-05	3
AT3G25840:9452135:9452183	1.10898676015219e-05	3
AT4G33625:16153346:16153715	1.1621717497601e-05	3
AT2G38170:15989509:15990228	1.17572791675261e-05	3
AT3G06160+AT3G06170:1866932:1867192	1.22057141974615e-05	2
AT5G46410+AT5G46420:18826658:18827152	1.23381252800293e-05	3
AT1G03130+AT1G03140:755381:756303	1.24791784618317e-05	3
AT3G26890+AT3G26900:9912462:9912526	1.32594295129299e-05	3
AT1G03130+AT1G03140:754263:754890	1.34668798877978e-05	3
AT4G00700+AT4G00690+AT4G00695:286200:288988	1.46938346803922e-05	3
AT3G06160+AT3G06170:1866738:1866832	1.47149359457276e-05	2
AT1G51720:19185666:19185849	1.49787359599507e-05	2
AT5G46410+AT5G46420:18825103:18825239	1.52047069880284e-05	3
AT5G46410+AT5G46420:18827427:18827764	1.59929490994517e-05	3
AT5G46410+AT5G46420:18826498:18826579	1.60263691555789e-05	3
AT3G26890+AT3G26900:9908348:9908428	1.83362248266575e-05	3
AT5G46410+AT5G46420:18826296:18826417	1.85934435504397e-05	3
AT5G46410+AT5G46420:18825916:18826172	1.88903323325892e-05	3
AT3G26890+AT3G26900:9908835:9909083	1.93415489173203e-05	3
AT2G32260:13697824:13698253	1.95178896984297e-05	2
AT1G65520+AT1G65540:24361032:24362044	2.05008122294162e-05	3
AT3G26890+AT3G26900:9907639:9908052	2.13796740556674e-05	3
AT3G06160+AT3G06170:1866137:1866659	2.16921643829506e-05	2
AT3G26890+AT3G26900:9907262:9907512	2.1828344055014e-05	3
AT3G24575+AT3G04755:8967516:8968260	2.92718438800425e-05	2
AT3G08840:2682194:2682386	4.18729791720444e-05	2
AT5G22450+AT5G22460:7445380:7445400	4.27630703912716e-05	2
AT2G44180:18271086:18271152	4.64168718375094e-05	2
AT1G27770:9675233:9675308	5.07060641313515e-05	2
AT3G14415:4818537:4818576	5.62052478283405e-05	2
AT2G34410+AT2G08665:14521553:14521609	5.72354466887572e-05	2
AT5G22450+AT5G22460:7445401:7445573	5.77540472691596e-05	2
AT2G34410+AT2G08665:14520164:14520313	5.87982504025527e-05	2
AT1G49950:18497084:18497128	6.14496000167562e-05	2
AT3G05160:1456699:1456883	6.3068412955523e-05	2
AT1G10900:3636515:3636997	6.58131007892252e-05	2
AT4G09000:5776372:5776438	6.74879103666621e-05	2
AT1G77080:28958311:28958333	7.0900514236227e-05	2
AT1G15125+AT1G15120:5205565:5205960	7.43970859273676e-05	2
AT1G27450:9532179:9532201	7.49880104200498e-05	2
AT1G27450:9531839:9532178	7.61768552819833e-05	2
AT5G22800:7620114:7620278	7.67747755201598e-05	2
AT2G19080:8264195:8264304	7.73750275424273e-05	2
AT1G19000+AT1G18990:6559058:6560490	8.1642076147935e-05	2
AT2G43910:18186254:18186409	8.35057814725913e-05	2
AT3G05380:1539729:1539763	8.66585774047121e-05	2
AT1G58602:21753884:21754088	8.72961290600465e-05	2
AT1G15125+AT1G15120:5205126:5205490	8.92227677844188e-05	2
AT3G14080:4668330:4668380	9.18242457402599e-05	2
AT3G23480+AT3G23470:8420427:8420495	9.31389662488059e-05	2
AT3G17185:5861606:5861997	9.44630070788978e-05	2
AT1G15125+AT1G15120:5204758:5205049	9.71390476071711e-05	2
AT1G15125+AT1G15120:5204495:5204675	9.78138821212507e-05	2
AT1G20020:6942956:6943227	9.98523631320952e-05	2
AT4G28706+AT4G28710:14168911:14169061	0.000106093588052529	2
AT5G44290:17843415:17843432	0.000106093588052529	2
AT4G28706+AT4G28710:14167755:14167887	0.000106798702539884	2
AT3G06400:1944683:1944688	0.000108215917759574	2
AT4G01870:810447:810611	0.000119141897210437	2
AT4G08980:5758485:5758589	0.000119888919539145	2
AT1G28520:10029436:10029673	0.000121389946904653	2
AT4G32590:15722070:15722237	0.000132944367140922	2
AT4G28706+AT4G28710:14169537:14169663	0.000137712715721474	2
AT1G70610:26622787:26622797	0.000153364864046902	2
AT4G28706+AT4G28710:14167969:14167974	0.000156767010917818	2
AT5G50915:20710591:20710724	0.000159343029382717	2
AT1G12750:4347791:4348240	0.000162810261724628	2
AT4G28706+AT4G28710:14168655:14168707	0.000165435089481608	2
AT5G66160:26446705:26446800	0.000169856280031756	2
AT3G46640:17185355:17186959	0.0001816232159465	2
AT5G10710:3382198:3382326	0.000186253491982875	2
AT4G28706+AT4G28710:14169765:14169862	0.000189999516755309	2
AT4G21585+AT4G21580:11479114:11479206	0.000202430674005031	2
AT1G08040:2498480:2498483	0.000208300454406527	2
AT3G13970:4613756:4613905	0.000210275615888361	2
AT1G55490:20718707:20718830	0.00021226006050524	2
AT4G28706+AT4G28710:14167975:14168038	0.000213255763825773	2
AT4G28706+AT4G28710:14169944:14170082	0.000222321512298239	2
AT1G13570+AT1G13560:4641546:4641554	0.000223832573180462	1
AT4G33130:15980201:15980346	0.000223832573180462	1
AT4G12020:7201856:7202002	0.00022743924223695	2
AT4G21585+AT4G21580:11478359:11478539	0.000241016721261877	2
AT2G04270+AT2G04755:1479377:1479539	0.000252811447549469	2
AT3G25840:9456874:9456929	0.00027951887969701	2
AT4G21585+AT4G21580:11478618:11478728	0.00027951887969701	2
AT4G20380+AT4G20390:11005974:11006073	0.000280660652296645	2
AT3G01340:128880:128891	0.000291040838887315	2
AT4G17570:9785984:9785995	0.000302794385996459	2
AT5G55390+AT5G55380:22446624:22447936	0.000308757984593739	2
AT5G64460:25775306:25775354	0.000308757984593739	2
AT1G24160:8556140:8556144	0.000319638295199113	2
AT2G25910:11049623:11049625	0.000320858791023774	2
AT1G76020:28533072:28533291	0.000330706064958329	2
AT3G60920:22503328:22503549	0.000335745336976956	1
AT2G09545+AT2G44798:18469583:18470769	0.000335745336976956	1
AT1G53490+AT1G07887:19966174:19966343	0.000335745336976956	1
AT1G79650:29973974:29974045	0.000338188698579714	2
AT2G21385+AT2G21390:9149977:9150091	0.000340701417126509	2
AT1G10585+AT1G10580:3494296:3494613	0.000353403791385486	2
AT2G28550:12226862:12226968	0.000358549496043835	2
AT5G05930:1780845:1781089	0.000365033652788339	2
AT5G44090:17747340:17747759	0.000365033652788339	2
AT4G28706+AT4G28710:14168464:14168538	0.000366337420273489	2
AT2G28550:12227014:12227119	0.000367643499651624	2
AT2G09640+AT2G45540:18772379:18772421	0.000370262593825547	2
AT2G02370:621375:621820	0.000375528522014914	2
AT1G54390:20306636:20306697	0.00038349675606409	2
AT4G21585+AT4G21580:11479304:11479371	0.000386171323127611	2
AT5G41340:16539351:16539733	0.00039020050540835	2
AT2G30800:13123747:13124234	0.00039968280278488	2
AT4G21585+AT4G21580:11478946:11479029	0.00039968280278488	2
AT4G28706+AT4G28710:14169762:14169764	0.000402412823926757	2
AT2G22990:9789751:9789752	0.000410658328368704	2
AT4G26530+AT4G26520+AT4G26510:13381687:13383924	0.000413425308446637	2
AT4G21585+AT4G21580:11479835:11480012	0.00041898698336387	2
AT3G07510:2394568:2394573	0.000420383175620873	2
AT5G11640+AT5G11630:3740878:3740942	0.000421781677158354	2
AT4G08980:5758590:5758690	0.000438743795717452	2
AT1G13880:4749835:4749837	0.0004473495173578	2
AT2G21070:9040863:9041166	0.000448791882818431	2
AT5G56180:22740142:22740255	0.000461877022988817	2
AT2G06025:2348914:2348977	0.000466280271696858	2
AT3G54010:20001314:20001383	0.00047663526733045	2
AT2G04690:1646067:1646154	0.000490114914885198	2
AT4G02120:942544:942609	0.000497684326159435	2
AT5G16030:5238680:5238682	0.000499205126137151	2
AT4G28706+AT4G28710:14169332:14169442	0.000508378344581548	2
AT4G21585+AT4G21580:11479585:11479658	0.000511454527669394	2
AT5G20950:7110798:7110819	0.000517634556122315	2
AT5G03500:877899:878112	0.000519185325829313	2
AT3G09800:3007939:3008263	0.000526973746664275	2
AT3G10350:3209460:3209476	0.000531674454656204	2
AT1G19650:6798954:6799098	0.000534819782017909	2
AT1G05767+AT1G22800:8074366:8075020	0.00055956381914675	1
AT5G09230:2872351:2872361	0.000560314169717379	2
AT1G04733+AT1G09800:3180548:3180734	0.000591354550971467	2
AT2G31580:13441838:13441937	0.00059799527376042	2
AT1G68862:25888930:25889024	0.000602999984040091	2
AT1G18660:6421304:6421381	0.000604672823916524	2
AT4G36140:17103826:17103901	0.000611387197265858	2
AT1G52510:19564837:19564981	0.00061307154373802	2
AT2G20810+AT2G20815:8960129:8960616	0.000618138389634677	2
AT1G02960:667282:667372	0.000640333995746356	2
AT1G02990:681922:682092	0.000640333995746356	2
AT3G26090+AT3G26085:9533399:9533519	0.000645511265836061	2
AT3G57530:21297376:21297469	0.000647241622388738	2
AT3G26090+AT3G26085:9533760:9533844	0.0006489742787608	2
AT5G09230:2873272:2873343	0.000650709234887053	2
AT1G45688:17192393:17192516	0.000650709234887053	2
AT3G26090+AT3G26085:9533615:9533678	0.000659418509549252	2
AT3G51370:19070367:19070444	0.000666427318204414	2
AT3G53460:19820724:19820786	0.000669945517406214	2
AT4G08980:5758691:5758981	0.000673472912495453	2
AT2G38040:15920848:15920855	0.000675240058334889	2
AT3G27610:10227551:10227700	0.000677009502950619	2
AT4G13670:7949874:7950049	0.000682331628803698	2
AT3G56130:20827694:20827900	0.000698422119162684	2
AT1G80780:30358296:30358378	0.000700221441938412	2
AT5G44020+AT5G44030:17715337:17715406	0.000707441711026856	2
AT3G56210:20852385:20852709	0.000707441711026856	2
AT4G17310:9686444:9686497	0.000714698741763682	2
AT1G77930:29302164:29302248	0.000733002123444746	2
AT5G25570+AT5G25560:8902738:8902897	0.000736690362153932	2
AT3G26090+AT3G26085:9533949:9534022	0.000749671535864588	2
AT5G60600:24359234:24359324	0.000749671535864588	2
AT3G56210:20853377:20853418	0.000757139865138825	2
AT5G46410+AT5G46420:18828787:18828890	0.000764644927909663	2
AT1G55080:20553324:20553402	0.000764644927909663	2
AT4G16660:9376835:9377178	0.000772186720007152	2
AT5G13590:4378726:4379055	0.000783372907637989	1
AT1G79270:29816191:29816510	0.000783568266519525	2
AT1G23950:8470045:8470134	0.000785473223578214	2
AT1G79270:29816511:29816515	0.000791201863691267	2
AT3G06770:2136821:2136961	0.000798872175596224	2
AT5G55550:22503296:22503436	0.000802721098270789	2
AT4G01100:477563:477948	0.00080657919806524	2
AT2G41720:17403809:17403904	0.00080851168921957	2
AT2G34410+AT2G08665:14518406:14518751	0.00080851168921957	2
AT5G02840:650686:650789	0.000818208554956776	2
AT3G09600:2948156:2948177	0.000824054200026636	2
AT2G38780:16213256:16213263	0.000829920487167719	2
AT4G12460:7392441:7392687	0.000835807414621475	2
AT4G14930+AT4G14940:8541003:8541091	0.000837774310204936	2
AT1G02100:392073:392076	0.000843688755340151	2
AT3G10490:3268295:3268565	0.000843688755340151	2
AT1G63490:23551456:23551668	0.000847643183433053	2
AT5G53470+AT5G53460:21710297:21710954	0.000853592021274047	2
AT1G20510:7104011:7104418	0.00085756937620936	2
AT3G06770:2136818:2136820	0.000859561492394045	2
AT4G36940:17416855:17417092	0.00086755288039351	2
AT4G00700+AT4G00690+AT4G00695:281885:281978	0.000869556457882962	2
AT4G21410+AT4G03065+AT4G21400:11403020:11403093	0.000873570488993546	2
AT1G51340:19031754:19031817	0.000895273929336286	1
AT5G35930:14066599:14066991	0.000895273929336286	1
AT3G59060:21829903:21829913	0.000910109254846914	2
AT5G44020+AT5G44030:17715131:17715249	0.00091832978755019	2
AT3G26090+AT3G26085:9534117:9534397	0.000920390647146243	2
AT5G43930:17677970:17678037	0.000934880792934096	2
AT3G08840:2682479:2682619	0.000939041445404119	2
AT5G06130:1855347:1855560	0.000939041445404119	2
AT4G03430:1516214:1516741	0.000943211257282241	2
AT1G70100:26405497:26405597	0.000957877721676309	2
AT1G58180:21539301:21539393	0.000962088744446843	2
AT2G01130+AT2G01140:94028:94115	0.000966308923761529	2
AT4G03430:1516742:1517030	0.000968422446960215	2
AT2G23140:9848940:9849103	0.000976899428511968	2
AT2G21590:9238762:9238931	0.000979024395763746	2
AT5G46510:18866526:18866697	0.000985413028950999	2
AT1G65960:24557432:24557730	0.000987547150273793	2
AT5G20920:7096871:7097011	0.000987547150273793	2
AT3G49060+AT3G49055:18191186:18191703	0.000991822257919476	2
AT5G53470+AT5G53460:21711341:21711443	0.000993963244112212	2
AT3G07300:2326719:2326724	0.00100470249617182	2
AT1G06680+AT1G06670:2046476:2047632	0.00100717260271351	1
AT3G60920:22508428:22508754	0.00100717260271351	1
AT5G37500:14889245:14889585	0.00100717260271351	1
AT4G24230:12567238:12567250	0.00101117350194168	2
AT1G14710:5064812:5064971	0.00103071004474319	2
AT5G44020+AT5G44030:17715499:17715655	0.00103945241886924	2
AT4G00620+AT4G00630:264187:264219	0.00104383732695288	2
AT5G19320+AT5G19330:6505096:6506974	0.00104603321102214	2
AT1G13460:4615979:4616059	0.00104603321102214	2
AT3G09800:3008264:3008347	0.00105483961263075	2
AT4G00700+AT4G00690+AT4G00695:281132:281615	0.00106146842061375	2
AT1G72640:27346665:27346745	0.00107033883695363	2
AT4G40050:18561989:18561992	0.00107701565120362	2
AT1G09420:3039514:3039549	0.00109716951405111	2
AT2G47640:19537860:19537862	0.00109942025852275	2
AT5G47480:19261603:19261817	0.00110167328803138	2
AT5G25570+AT5G25560:8902609:8902660	0.00110844608612885	2
AT1G55500:20722293:20722308	0.00111523944721783	2
AT5G57887+AT5G57880:23445606:23445798	0.00113345559361477	2
AT5G61310+AT5G61300:24653762:24654769	0.00114261848636889	2
AT5G44020+AT5G44030:17714858:17715050	0.00114951463607592	2
AT4G21585+AT4G21580:11478817:11478872	0.0011518179199441	2
AT1G70410:26536604:26537403	0.0011680048425337	2
AT5G64960:25956088:25956185	0.00117032639291082	2
AT4G17150:9638821:9638824	0.00117497634266311	2
AT5G53470+AT5G53460:21712031:21712128	0.00117730474190822	2
AT3G54500:20177691:20177704	0.00118898097922276	2
AT5G61910+AT5G61900:24859818:24859877	0.00119132307444834	2
AT3G57062:21122323:21122569	0.00120306778581377	2
AT5G53470+AT5G53460:21711858:21711949	0.00120778164559055	2
AT5G44020+AT5G44030:17716862:17717074	0.00121014199848259	2
AT2G38280:16033727:16033741	0.00121960622855826	2
AT2G32320:13731768:13731956	0.00122435203379048	2
AT1G06680+AT1G06670:2045873:2046391	0.00123096290463615	1
AT5G50340:20496153:20496335	0.00123096290463615	1
AT5G53470+AT5G53460:21711566:21711654	0.00123148785291916	2
AT4G03440:1527174:1527399	0.00125301849514292	2
AT3G04700+AT3G04710:1276668:1277443	0.00125301849514292	2
