groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Col_0	fio1	log2fold_fio1_Col_0	abs_logFC	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.Wang_Col.0_1.bam	countData.Wang_Col.0_2.bam	countData.Wang_fio1_1.bam	countData.Wang_fio1_2.bam	transcripts
AT1G22130	E002	7.59831193952232	0.14561507604308	15.1931578039581	9.70544453670676E-05	0.0241376405164806	0.014383804721632	5.49448716381323	17.1572605237776	17.1572605237776	1	7812598	7812763	166	-	0	0	14	20	AT1G22130.1
AT1G22970+AT1G22980	E015	5.65741134226099	0.111164709951033	15.368685087191	8.84419421562222E-05	0.0232095023821373	0.0109717957416819	3.82061798750254	16.8889190571466	16.8889190571466	1	8133604	8133813	210	-	0	0	14	11	"c(""AT1G22980.1"", ""AT1G22980.2"")"
AT2G27880	E014	2.72342966807146	0.256085572158313	16.3270333074779	5.32981714055184E-05	0.0173890547543439	3.55655696112316	0.0109874659156617	-16.6779921963888	16.6779921963888	2	11875297	11875434	138	+	8	2	0	0	AT2G27880.1
AT1G16710	E029	7.26864740575603	0.234184303030774	13.268604069251	0.000269888095323169	0.0429987905453404	0.0160256632304936	4.63902466494713	16.356347506036	16.356347506036	1	5720540	5720652	113	+	0	0	8	25	AT1G16710.9
AT1G07390	E015	5.44175572034307	0.0871510971010504	20.91133751294	4.81039056018495E-06	0.00375426787719652	0.0148311522061704	4.27004587013076	16.3404455265152	16.3404455265152	1	2272451	2272534	84	+	0	0	14	10	"c(""AT1G07390.5"", ""AT1G07390.2"", ""AT1G07390.4"", ""AT1G07390.1"", ""AT1G07390.3"")"
AT4G10970	E022	4.68098118888881	0.0973042990391807	17.5010361849838	2.87151141694708E-05	0.0126021690349671	3.73883596600848	0.0140654124900834	-16.1097304258065	16.1097304258065	4	6722203	6722220	18	-	8	9	0	0	"c(""AT4G10970.4"", ""AT4G10970.2"", ""AT4G10970.1"")"
AT2G43200+AT2G43190+AT2G43210	E031	6.46302937400851	0.091724306143769	18.6967691856103	0.0000153241915581	0.00849767033711729	0.0161589033249925	4.26063266402574	16.0866739545718	16.0866739545718	2	17960923	17960941	19	+	0	0	11	18	"c(""AT2G43210.3"", ""AT2G43210.1"")"
AT5G58050	E008	4.94236328001725	0.104840545107701	25.1824514902354	5.21546107133181E-07	0.000802419138612913	4.52435688679901	0.0184866007159599	-15.8718521938204	15.8718521938204	5	23497275	23497402	128	-	10	8	0	0	AT5G58050.1
AT5G13870	E007	8.14363209520654	0.0832449301910593	22.0955338872285	2.59412576557905E-06	0.00236685320068654	0.0199091029309955	4.78170861568404	15.8177785254529	15.8177785254529	5	4476998	4477090	93	-	0	0	20	16	"c(""AT5G13870.2"", ""AT5G13870.3"", ""AT5G13870.1"")"
AT5G03270	E007	4.03381307698715	0.111827367110807	17.0656903016465	3.61087924784896E-05	0.0139228228806925	0.0173650533058662	4.04304275037487	15.7275586465374	15.7275586465374	5	783690	783833	144	+	0	0	8	10	"c(""AT5G03270.2"", ""AT5G03270.1"")"
AT5G45240	E010	9.00625458287824	0.1263936396178	19.2692679541578	1.13518922804315E-05	0.00682553182935019	0.0214072571466772	4.92698881291534	15.6949103426749	15.6949103426749	5	18318863	18319085	223	+	0	0	20	20	"c(""AT5G45240.1"", ""AT5G45240.2"")"
